country,isocode,year,demo,gdppc
Afghanistan,AFG,1960,0,249.266
Afghanistan,AFG,2009,0,340.931
Albania,ALB,1960,0,1155.77
Albania,ALB,2009,1,3288.43
Argentina,ARG,1960,1,3067.91
Argentina,ARG,2009,1,5807.34
Australia,AUS,1960,1,13347.8
Australia,AUS,2009,1,35861.3
Austria,AUT,1960,1,10861.7
Austria,AUT,2009,1,38255.9
Belgium,BEL,1960,1,11169.9
Belgium,BEL,2009,1,36242.4
Benin,BEN,1960,0,392.888
Benin,BEN,2009,1,551.967
Bolivia,BOL,1960,0,874.286
Bolivia,BOL,2009,1,1148.79
Brazil,BRA,1960,1,1726.57
Brazil,BRA,2009,1,5271.14
Burkina Faso,BFA,1960,0,188.454
Burkina Faso,BFA,2009,0,436.093
Cambodia,KHM,1960,0,106.086
Cambodia,KHM,2009,0,580.024
Cameroon,CMR,1960,0,704.772
Cameroon,CMR,2009,0,920.867
Canada,CAN,1960,1,12931.4
Canada,CAN,2009,1,34583.4
Central African Rep.,CAF,1960,0,546.797
Central African Rep.,CAF,2009,0,353.346
Chad,TCD,1960,0,438.919
Chad,TCD,2009,0,460.656
Chile,CHL,1960,1,2479.19
Chile,CHL,2009,1,8217.06
China,CHN,1960,0,124.692
China,CHN,2009,0,2611.4
Colombia,COL,1960,1,1452.07
Colombia,COL,2009,1,3840.54
"Congo, Dem Rep",ZAR,1960,0,443.967
"Congo, Dem Rep",ZAR,2009,0,145.602
"Congo, Rep.",COG,1960,1,956.971
"Congo, Rep.",COG,2009,0,1807.38
Costa Rica,CRI,1960,1,1842.39
Costa Rica,CRI,2009,1,5180.32
Cote d'Ivoire,CIV,1960,0,905.82
Cote d'Ivoire,CIV,2009,0,956.457
Cuba,CUB,1960,0,2074.22
Cuba,CUB,2009,0,4796.23
Cyprus,CYP,1960,0,2365.3
Cyprus,CYP,2009,1,23700.4
Denmark,DNK,1960,1,17226.4
Denmark,DNK,2009,1,45862.8
Dominican Rep.,DOM,1960,0,1086.35
Dominican Rep.,DOM,2009,1,4497.19
Ecuador,ECU,1960,1,1593.16
Ecuador,ECU,2009,1,3209.85
Egypt,EGY,1960,0,323.936
Egypt,EGY,2009,0,1499.34
El Salvador,SLV,1960,0,1678.9
El Salvador,SLV,2009,1,2926.23
Finland,FIN,1960,1,10314.1
Finland,FIN,2009,1,36995
France,FRA,1960,1,11154.4
France,FRA,2009,1,33492.7
Gabon,GAB,1960,0,2790.92
Gabon,GAB,2009,0,5974.7
Ghana,GHA,1960,0,415.627
Ghana,GHA,2009,1,578.722
Greece,GRC,1960,1,5359.64
Greece,GRC,2009,1,22467.5
Guatemala,GTM,1960,1,1170.73
Guatemala,GTM,2009,1,2262.39
Guinea,GIN,1960,0,288.068
Guinea,GIN,2009,0,302.602
Haiti,HTI,1960,0,720.08
Haiti,HTI,2009,0,466.388
Honduras,HND,1960,1,816.973
Honduras,HND,2009,1,1501.26
Hungary,HUN,1960,0,2037.07
Hungary,HUN,2009,1,10766.3
India,IND,1960,1,228.339
India,IND,2009,1,947.748
Indonesia,IDN,1960,0,286.031
Indonesia,IDN,2009,1,1498.01
Iran,IRN,1960,0,1084.69
Iran,IRN,2009,0,3104.61
Iraq,IRQ,1960,0,1838.41
Iraq,IRQ,2009,0,1412.23
Ireland,IRL,1960,1,8242.98
Ireland,IRL,2009,1,46773.1
Israel,ISR,1960,1,5638.44
Israel,ISR,2009,1,20912
Italy,ITA,1960,1,9009.41
Italy,ITA,2009,1,28807.5
Jamaica,JAM,1960,1,2551.08
Jamaica,JAM,2009,1,4127.61
Japan,JPN,1960,1,7079.44
Japan,JPN,2009,1,34822.1
Jordan,JOR,1960,0,521.678
Jordan,JOR,2009,0,2815.29
"Korea, South",KOR,1960,1,1467.09
"Korea, South",KOR,2009,1,19489
Laos,LAO,1960,0,196.608
Laos,LAO,2009,0,591.233
Lebanon,LBN,1960,0,3766.06
Lebanon,LBN,2009,0,6599.98
Liberia,LBR,1960,0,552.064
Liberia,LBR,2009,1,226.497
Libya,LBY,1960,0,1221.09
