"","country","isocode","year","demo","gdppc"
"1","Afghanistan","AFG",1960,0,249.266
"2","Afghanistan","AFG",2009,0,340.931
"3","Albania","ALB",1960,0,1155.77
"4","Albania","ALB",2009,1,3288.43
"5","Argentina","ARG",1960,1,3067.91
"6","Argentina","ARG",2009,1,5807.34
"7","Australia","AUS",1960,1,13347.8
"8","Australia","AUS",2009,1,35861.3
"9","Austria","AUT",1960,1,10861.7
"10","Austria","AUT",2009,1,38255.9
"11","Belgium","BEL",1960,1,11169.9
"12","Belgium","BEL",2009,1,36242.4
"13","Benin","BEN",1960,0,392.888
"14","Benin","BEN",2009,1,551.967
"15","Bolivia","BOL",1960,0,874.286
"16","Bolivia","BOL",2009,1,1148.79
"17","Brazil","BRA",1960,1,1726.57
"18","Brazil","BRA",2009,1,5271.14
"19","Burkina Faso","BFA",1960,0,188.454
"20","Burkina Faso","BFA",2009,0,436.093
"21","Cambodia","KHM",1960,0,106.086
"22","Cambodia","KHM",2009,0,580.024
"23","Cameroon","CMR",1960,0,704.772
"24","Cameroon","CMR",2009,0,920.867
"25","Canada","CAN",1960,1,12931.4
"26","Canada","CAN",2009,1,34583.4
"27","Central African Rep.","CAF",1960,0,546.797
"28","Central African Rep.","CAF",2009,0,353.346
"29","Chad","TCD",1960,0,438.919
"30","Chad","TCD",2009,0,460.656
"31","Chile","CHL",1960,1,2479.19
"32","Chile","CHL",2009,1,8217.06
"33","China","CHN",1960,0,124.692
"34","China","CHN",2009,0,2611.4
"35","Colombia","COL",1960,1,1452.07
"36","Colombia","COL",2009,1,3840.54
"37","Congo, Dem Rep","ZAR",1960,0,443.967
"38","Congo, Dem Rep","ZAR",2009,0,145.602
"39","Congo, Rep.","COG",1960,1,956.971
"40","Congo, Rep.","COG",2009,0,1807.38
"41","Costa Rica","CRI",1960,1,1842.39
"42","Costa Rica","CRI",2009,1,5180.32
"43","Cote d'Ivoire","CIV",1960,0,905.82
"44","Cote d'Ivoire","CIV",2009,0,956.457
"45","Cuba","CUB",1960,0,2074.22
"46","Cuba","CUB",2009,0,4796.23
"47","Cyprus","CYP",1960,0,2365.3
"48","Cyprus","CYP",2009,1,23700.4
"49","Denmark","DNK",1960,1,17226.4
"50","Denmark","DNK",2009,1,45862.8
"51","Dominican Rep.","DOM",1960,0,1086.35
"52","Dominican Rep.","DOM",2009,1,4497.19
"53","Ecuador","ECU",1960,1,1593.16
"54","Ecuador","ECU",2009,1,3209.85
"55","Egypt","EGY",1960,0,323.936
"56","Egypt","EGY",2009,0,1499.34
"57","El Salvador","SLV",1960,0,1678.9
"58","El Salvador","SLV",2009,1,2926.23
"59","Finland","FIN",1960,1,10314.1
"60","Finland","FIN",2009,1,36995
"61","France","FRA",1960,1,11154.4
"62","France","FRA",2009,1,33492.7
"63","Gabon","GAB",1960,0,2790.92
"64","Gabon","GAB",2009,0,5974.7
"65","Ghana","GHA",1960,0,415.627
"66","Ghana","GHA",2009,1,578.722
"67","Greece","GRC",1960,1,5359.64
"68","Greece","GRC",2009,1,22467.5
"69","Guatemala","GTM",1960,1,1170.73
"70","Guatemala","GTM",2009,1,2262.39
"71","Guinea","GIN",1960,0,288.068
"72","Guinea","GIN",2009,0,302.602
"73","Haiti","HTI",1960,0,720.08
"74","Haiti","HTI",2009,0,466.388
"75","Honduras","HND",1960,1,816.973
"76","Honduras","HND",2009,1,1501.26
"77","Hungary","HUN",1960,0,2037.07
"78","Hungary","HUN",2009,1,10766.3
"79","India","IND",1960,1,228.339
"80","India","IND",2009,1,947.748
"81","Indonesia","IDN",1960,0,286.031
"82","Indonesia","IDN",2009,1,1498.01
"83","Iran","IRN",1960,0,1084.69
"84","Iran","IRN",2009,0,3104.61
"85","Iraq","IRQ",1960,0,1838.41
"86","Iraq","IRQ",2009,0,1412.23
"87","Ireland","IRL",1960,1,8242.98
"88","Ireland","IRL",2009,1,46773.1
"89","Israel","ISR",1960,1,5638.44
"90","Israel","ISR",2009,1,20912
"91","Italy","ITA",1960,1,9009.41
"92","Italy","ITA",2009,1,28807.5
"93","Jamaica","JAM",1960,1,2551.08
"94","Jamaica","JAM",2009,1,4127.61
"95","Japan","JPN",1960,1,7079.44
"96","Japan","JPN",2009,1,34822.1
"97","Jordan","JOR",1960,0,521.678
"98","Jordan","JOR",2009,0,2815.29
"99","Korea, South","KOR",1960,1,1467.09
"100","Korea, South","KOR",2009,1,19489
"101","Laos","LAO",1960,0,196.608
"102","Laos","LAO",2009,0,591.233
"103","Lebanon","LBN",1960,0,3766.06
"104","Lebanon","LBN",2009,0,6599.98
"105","Liberia","LBR",1960,0,552.064
"106","Liberia","LBR",2009,1,226.497
"107","Libya","LBY",1960,0,1221.09
"108","Libya","LBY",2009,0,8776.4
"109","Madagascar","MDG",1960,0,475.431
"110","Madagascar","MDG",2009,1,281.72
"111","Malaysia","MYS",1960,0,815.292
"112","Malaysia","MYS",2009,0,5984.92
"113","Mali","MLI",1960,0,216.178
"114","Mali","MLI",2009,1,485.885
"115","Mauritania","MRT",1960,0,501.003
"116","Mauritania","MRT",2009,0,767.338
"117","Mexico","MEX",1960,0,3250.99
"118","Mexico","MEX",2009,1,7534.71
"119","Mongolia","MNG",1960,0,445.48
"120","Mongolia","MNG",2009,1,1215.11
"121","Morocco","MAR",1960,0,768.447
"122","Morocco","MAR",2009,0,2293.3
"123","Myanmar","MMR",1960,1,70
"124","Myanmar","MMR",2009,0,372.052
"125","Nepal","NPL",1960,0,177.769
"126","Nepal","NPL",2009,1,363.103
"127","Netherlands","NLD",1960,1,13296.7
"128","Netherlands","NLD",2009,1,40699.9
"129","New Zealand","NZL",1960,1,14066
"130","New Zealand","NZL",2009,1,27341.6
"131","Nicaragua","NIC",1960,0,1256.36
"132","Nicaragua","NIC",2009,1,1225.06
"133","Niger","NER",1960,0,476.372
"134","Niger","NER",2009,1,263.7
"135","Nigeria","NGA",1960,1,514.833
"136","Nigeria","NGA",2009,0,925.786
"137","Norway","NOR",1960,1,17331.9
"138","Norway","NOR",2009,1,65088.4
"139","Oman","OMN",1960,0,1277.68
"140","Oman","OMN",2009,0,14911
"141","Panama","PAN",1960,1,1830.94
"142","Panama","PAN",2009,1,5951.35
"143","Paraguay","PRY",1960,0,569.513
"144","Paraguay","PRY",2009,1,1553
"145","Peru","PER",1960,1,1998.08
"146","Peru","PER",2009,1,3565.31
"147","Philippines","PHL",1960,1,696.016
"148","Philippines","PHL",2009,1,1325.9
"149","Poland","POL",1960,0,2148.83
"150","Poland","POL",2009,1,9651.39
"151","Portugal","PRT",1960,0,3717.61
"152","Portugal","PRT",2009,1,18191.4
"153","Romania","ROM",1960,0,1358.05
"154","Romania","ROM",2009,1,5310.4
"155","Saudi Arabia","SAU",1960,0,5356.42
"156","Saudi Arabia","SAU",2009,0,12930.5
"157","Senegal","SEN",1960,0,871.1
"158","Senegal","SEN",2009,1,786.639
"159","Singapore","SGP",1960,0,2296.12
"160","Singapore","SGP",2009,0,29601.9
"161","Somalia","SOM",1960,1,751.55
"162","Somalia","SOM",2009,0,283.447
"163","South Africa","ZAF",1960,0,3394.93
"164","South Africa","ZAF",2009,1,5697.23
"165","Spain","ESP",1960,0,6158.89
"166","Spain","ESP",2009,1,25761.8
"167","Sri Lanka","LKA",1960,1,336.718
"168","Sri Lanka","LKA",2009,1,1505.4
"169","Sudan","SDN",1960,0,507.403
"170","Sudan","SDN",2009,0,779.268
"171","Sweden","SWE",1960,1,14909.6
"172","Sweden","SWE",2009,1,40534.5
"173","Switzerland","CHE",1960,1,27071.1
"174","Switzerland","CHE",2009,1,53630.9
"175","Syria","SYR",1960,0,563.065
"176","Syria","SYR",2009,0,1686.93
"177","Thailand","THA",1960,0,358.925
"178","Thailand","THA",2009,0,2940.22
"179","Togo","TGO",1960,0,272.528
"180","Togo","TGO",2009,0,387.693
"181","Tunisia","TUN",1960,0,793.725
"182","Tunisia","TUN",2009,0,3734.95
"183","Turkey","TUR",1960,0,2345.64
"184","Turkey","TUR",2009,1,7266.69
"185","United Kingdom","GBR",1960,1,13478.9
"186","United Kingdom","GBR",2009,1,37556.5
"187","United States","USA",1960,1,15469.1
"188","United States","USA",2009,1,41366.3
"189","Uruguay","URY",1960,1,3151.8
"190","Uruguay","URY",2009,1,6279.61
"191","Venezuela","VEN",1960,1,5939.84
"192","Venezuela","VEN",2009,0,6199.09
