,q1a,q2a,q1b,q2b,q3a,q4a,q3b,q4b,q5a,q6a,q5b,q6b,q7a,q8a,q7b,q8b,q9a,q10a,q9b,q10b,q11a,q12a,q11b,q12b,q13a,q14a,q13b,q14b,q15a,q16a,q15b,q16b,q17a,q18a,q17b,q18b,q19a,q20a,q19b,q20b,q21a,q22a,q21b,q22b,q23a,q24a,q23b,q24b,q41a,q42a,q41b,q42b,q43a,q44a,q43b,q44b,q38,q25,q26,q27,q28,q29,q39,q40,q30,q31,q32,q33,q34,q35,q36,q45,q46,newsint,cablenews,ideo3,ideo5,votereg,votereg2,pid3,pid7,turnout20post,presvote20post,gender,birthyr,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,acsownrent,employstat2,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,volunteer,pew_religimp,pew_churatd,pew_bor.gain,pew_prayer,religpew,rand_ab,starttime,endtime,lastmodified,caseid,weight,gayadoption_per,gayadoption_court,acatax_per,acatax_court,acasev_per,acasev_court,azprovballot_per,azprovballot_court,azcollectballot_per,azcollectballot_court,donors_per,donors_court,schoolspeech_per,schoolspeech_court,juvcrime_per,juvcrime_court,databases_per,databases_court,ncaa_per,ncaa_court,covidchurch_per,covidchurch_court,unions_per,unions_court,agencies_per,agencies_court,warrants_per,warrants_court,justice_selection,justice_selection_correct,justice_term,justice_term_correct,last_say,last_say_correct,current_chief,current_chief_correct,most_recent,most_recent_correct,gop_appt,gop_appt_correct,total_correct,typical_votes,partisan_effect,diffuse2,diffuse3,diffuse1,diffuse4,diffuse5,ideology_perso.l,ideology_court,courtexpand,courttermlimits,polinterest,ideology3,ideology5,pid3_recoded,ideal,ideal_sotomayor,ideal_kagan,ideal_breyer,ideal_roberts,ideal_kava.ugh,ideal_barrett,ideal_gorsuch,ideal_alito,ideal_thomas,ideal_courtmajority,gayadoption_scotus,acatax_scotus,acasev_scotus,azprovballot_scotus,azcollectballot_scotus,donors_scotus,schoolspeech_scotus,juvcrime_scotus,databases_scotus,ncaa_scotus,covidchurch_scotus,unions_scotus,agencies_scotus,warrants_scotus,idealg,perception,idealg_sotomayor,idealg_kagan,idealg_breyer,idealg_roberts,idealg_kava.ugh,idealg_barrett,idealg_gorsuch,idealg_alito,idealg_thomas,idealg_courtmajority
1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,5,3,3,1,4,3,7,4,3,4,1,3,5,.,.,3,1,1,1,1,1,1,1,1,2,2,6,1,1987,34,2,1,1,5,3,1,1,39,2,4,1,.,9,2,2,2,2,2,1,1,1,2,1,4,1,1,4,3,2,13:55.6,18:50.6,18:47.9,1415548979,1.33727169,2,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,3,0,3,0,1,0,4,1,3,0,7,0,1,5,4,4,1,3,3,5,.,.,3,1,1,1,1,1,0.457419095,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,0.501821865,-0.116328594,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
2,1,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,3,1,2,1,8,4,4,1,1,3,5,.,.,2,3,4,1,2,3,1,1,2,7,2,6,2,1986,34,2,1,1,5,3,1,1,27,2,3,1,1,11,3,2,2,2,2,1,2,2,1,1,2,1,1,7,1,1,14:45.0,19:05.2,19:00.8,1415642381,1.154431939,1,1,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,3,0,1,0,2,0,1,0,8,0,1,2,4,1,1,4,3,5,.,.,2,3,4,2,3,2,-0.3027616,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.472093235,-0.314452483,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
3,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,4,2,2,2,4,5,5,3,3,3,2,4,4,100,28,4,5,2,5,3,5,1,1,3,4,1,2,1,1997,23,1,1,1,3,2,5,2,5,3,4,1,.,1,1,1,1,.,.,.,.,.,1,2,1,4,2,4,1,1,13:42.5,20:05.7,20:05.5,1415642245,0.762331843,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,4,1,5,1,5,0,5,4,3,3,2,3,4,4,100,28,4,5,2,3,5,3,1.560878377,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,1.50036008,0.552788417,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
4,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,2,1,3,3,5,3,2,5,1,3,2,2,5,.,.,5,1,3,1,2,3,1,1,3,4,2,6,1,1988,32,2,1,1,5,3,1,1,17,2,1,1,.,11,3,.,.,.,.,1,.,1,.,2,4,2,2,6,7,2,14:52.7,21:07.3,21:03.9,1415642397,1.33727169,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,1,0,3,0,3,0,5,0,3,0,2,0,0,2,5,3,2,1,2,5,.,.,5,1,3,2,3,3,-0.596892772,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.655729989,0.550353102,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
5,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,2,1,3,3,1,2,1,10,4,5,4,1,3,1,.,.,1,5,4,1,1,2,1,1,2,7,2,6,1,1989,32,2,1,1,5,3,1,2,48,3,2,1,1,10,3,.,.,.,1,.,1,.,.,2,4,6,2,4,2,2,17:49.7,22:05.8,22:01.8,1414629927,1.257776499,2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,1,1,1,2,1,2,1,2,3,0,3,0,1,0,2,0,1,0,10,0,0,1,4,4,1,5,3,1,.,.,1,5,4,1,2,2,1.067465366,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,1.103365775,0.643088441,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
6,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,5,1,1,2,4,5,5,3,3,3,3,3,3,63,64,3,3,2,3,4,6,1,1,3,3,1,1,2,1975,45,3,1,1,3,2,1,1,9,1,2,1,1,10,3,.,.,.,1,.,.,.,1,2,1,2,2,2,2,2,16:05.4,25:15.8,25:15.3,1415642563,0.727906287,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,0,1,0,2,1,4,1,5,1,5,0,3,5,3,3,3,3,3,3,63,64,3,3,2,4,6,3,-0.332949353,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.361099456,-0.359530892,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
7,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,4,1,2,2,5,4,10,4,4,3,1,3,1,.,.,3,3,2,2,1,1,1,1,2,7,2,6,1,1989,32,2,1,1,5,3,1,1,4,4,4,1,.,9,2,1,1,1,1,2,1,1,2,1,3,1,2,1,3,1,22:03.8,26:34.0,26:29.8,1415648881,1.599668503,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,1,1,0,2,1,2,1,5,0,4,0,10,0,2,4,4,3,1,4,3,1,.,.,3,3,2,1,1,2,-0.44481191,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.495511267,-0.362355221,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
8,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,4,2,2,2,4,2,6,3,3,2,2,3,2,60,83,4,3,2,4,4,6,1,1,2,6,1,2,2,1981,39,2,1,1,2,1,6,1,49,4,3,3,.,9,2,2,2,2,1,2,2,2,1,2,2,6,2,5,3,1,15:08.6,26:54.7,26:47.3,1415005015,1.205300808,2,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1,4,1,2,0,6,0,4,4,3,2,2,3,3,2,60,83,4,3,2,4,6,2,-0.028918198,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.019173634,-0.507247667,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
9,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,5,2,2,1,2,5,6,2,2,3,1,2,5,19,78,1,2,3,1,1,2,1,1,3,3,1,1,1,1971,49,3,1,1,5,3,5,2,48,3,1,2,2,3,1,.,.,.,1,.,.,.,1,1,3,3,1,2,11,1,19:17.6,27:10.1,27:07.2,1412856535,0.68742007,1,1,2,2,1,2,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,0,2,0,5,1,6,0,3,5,2,3,1,2,2,5,19,78,1,2,3,1,2,3,-0.71924962,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.786156242,-0.331097102,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
10,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,1,3,3,3,3,4,3,9,5,1,4,4,4,2,.,.,3,2,3,1,3,5,1,1,2,7,2,6,1,1986,34,2,1,1,5,3,1,1,53,4,2,1,1,11,3,1,2,2,1,2,1,1,2,1,3,5,1,3,8,2,23:24.1,27:36.9,27:32.8,1415649055,1.599668503,1,1,1,2,2,2,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,3,0,3,0,3,0,4,1,3,0,9,0,1,3,5,4,4,1,4,2,.,.,3,2,3,3,5,2,-0.16242949,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.166692702,0.215860089,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
