Variable,Description,Codes
weight,Post-stratification weight (provided by YouGov),
Demographics,,
gender,Gender,"1 ""Male"" 2 ""Female"""
age4,Age,"1 ""Under 30"" 2 ""30-44"" 3 ""34-64"" 4 ""65+"""
race,Race,"1 ""White"" 2 ""Black"" 3 ""Hispanic"" 4 ""Asian"" 5 ""Native American"" 6 ""Middle Eastern"" 7 ""Mixed"" 8 ""Other"""
educ4,Education,"1 ""HS or less"" 2 ""Some college"" 3 ""College grad"" 4 ""Postgrad"""
rep,Republican,"1 ""Republican"" 0 Other/Dem/Ind"
dem,Democrat,"1 ""Democrat"" 0 Other/Rep/Ind"
weight,Survey Weight,
educ,Education,1 Less than HS 2 High School 3 Some college 4 Associates degree 5 Bachelors degree 6 Graduate degree
pid7,Seven-point party identification,"1 ""Strong Democrat""ù 2 ""Weak Democrat""ù 3 ""leans Democrat""ù 4 ""Independent""ù 5 ""Leans Republican""ù 6 ""Weak Republican""ù 7 ""Strong Republican""ù 8 NA"
ideo5,Five-point ideological self-identification,"1 ""Very Liberal""ù 2 ""Liberal""ù 3 ""Moderate""ù 4 ""Conservative""ù 5 ""Very Conservative""ù 6 NA"
Personal Views on Cases (2021),,
gayadoption_per,Fulton v. City of Philadelphia PA,"1 ""Prohibiting religious agencies from participating in the foster care system unless they allow children to be placed with same-sex couples DOES NOT VIOLATE agencies' First Amendment rights to religious freedom"" 2 ""Prohibiting religious agencies from participating in the foster care system unless they allow children to be placed with same-sex couples DOES VIOLATE agencies' First Amendment rights to religious freedom"""
azprovballot_per,Brnovich v. Democratic National Committee I,"1 ""Discarding entire ballots from voters who voted outside of their precinct IS UNLAWFUL"" 2 ""Discarding entire ballots from voters who voted outside of their precinct IS LAWFUL"""
azcollectballot_per,Brnovich v. Democratic National Committee II,"1 ""Voters SHOULD BE ABLE to rely on another person or third party to collect and drop off ballots"" 2 ""STATES CAN FORBID voters from relying on another person or third party to collect and drop off ballots"""
schoolspeech_per,Mahanoy Area School District v. B.L.,"1 ""Public school officials CAN punish students for things they say or write off campus"" 2 ""Public school officials CANNOT punish students for things they say or write off campus"""
juvcrime_per,Jones v. Mississippi,"1 ""Juvenile defendants MUST BE FOUND to be incorrigible before being sentenced to a life sentence without parole"" 2 ""Juvenile defendants NEED NOT BE FOUND to be incorrigible before being sentenced to a life sentence without parole"""
databases_per,Van Buren v. United States,"1 ""Using government databases for uses not explicitly authorized SHOULD BE PUNISHED"" 2 ""Using government databases for uses not explicitly authorized SHOULD NOT BE PUNISHED"""
ncaa_per unions_per,National Collegiate Athletic Association v. Alston,"1 ""The NCAA SHOULD BE ABLE TO strictly limit paid compensation to college athletes."" 2 ""The NCAA SHOULD NOT BE ABLE TO strictly limit paid compensation to college athletes."""
unions_per,Cedar Point Nursery v. Hassid,"1 ""States CAN require that employers allow union representatives to enter a company's private property"" 2 ""States CANNOT require that employers allow union representatives to enter a company's private property"""
warrants_per,Lange v. California,"1 ""Police SHOULD be able to enter someone's house without a warrant if they are in pursuit of them when that person enters their home"" 2 ""Police SHOULD NOT be able to enter someone's house without a warrant if they are in pursuit of them when that person enters their home"""
