Q1A,Q2A,Q1B,Q2B,Q3A,Q4A,Q3B,Q4B,Q5A,Q6A,Q5B,Q6B,Q7A,Q8A,Q7B,Q8B,Q9A,Q10A,Q9B,Q10B,Q11A,Q12A,Q11B,Q12B,Q13A,Q14A,Q13B,Q14B,Q15A,Q16A,Q15B,Q16B,Q17A,Q18A,Q17B,Q18B,Q19A,Q20A,Q19B,Q20B,Q21A,Q22A,Q21B,Q22B,Q23A,Q24A,Q23B,Q24B,Q38,Q25,Q26,Q27,Q28,Q29,Q39,Q40,Q37,Q30,Q31,Q32,Q33,Q34,Q35,Q36,newsint,ideo3,ideo5,votereg,votereg2,presvote16x,pid3,pid7,gender,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,employ,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,pew_religimp,pew_churatd,pew_bornagain,pew_prayer,religpew,caseid,rand_ab,starttime,endtime,lastmodified,weight
1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,5,2,2,2,4,1,6,1,4,2,4,2,2,3,20.0,83.0,2,1,2,1,1,1,1,1,1,38.0,2,1,1,6,4,1,1,17,2,2,1,12,3,.,.,.,1,.,.,1,.,4,4,2,7,9,1131836313.0,1,2020-04-29T02:01:48.148,2020-04-29T02:08:17.779,2020-04-29T02:08:14.864,1.15354237045403
.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,1,2,2,2,4,1,5,2,5,4,5,1,2,5,2.0,100.0,1,1,1,1,1,1,1,1,2,45.0,3,1,1,6,4,5,2,36,1,1,1,97,4,2,2,2,1,2,2,2,1,3,2,2,3,2,1131829097.0,2,2020-04-29T02:01:36.679,2020-04-29T02:09:41.204,2020-04-29T02:09:34.145,0.524240686273447
1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,4,2,2,3,1,1,6,5,2,5,3,1,3,3,97.0,52.0,1,3,5,1,1,2,2,7,2,54.0,3,1,1,5,3,6,2,56,4,2,4,3,1,.,.,.,.,1,.,.,1,1,3,1,1,1,1131836349.0,1,2020-04-29T02:02:13.409,2020-04-29T02:10:07.261,2020-04-29T02:10:00.229,0.622956108501958
.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,5,2,2,2,4,1,5,1,5,5,4,2,5,5,4.0,76.0,2,1,1,1,1,1,1,1,1,70.0,4,1,1,6,4,1,2,48,3,1,5,12,3,.,.,.,.,1,.,.,1,1,2,1,2,1,1131836457.0,2,2020-04-29T02:03:08.115,2020-04-29T02:10:56.570,2020-04-29T02:10:48.056,1.48232909868737
.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,5,2,1,2,3,1,5,3,2,4,2,2,3,2,86.0,47.0,1,3,4,1,1,4,2,6,1,51.0,3,1,1,5,3,1,1,48,3,2,1,14,3,.,.,1,.,.,.,.,1,1,3,2,2,2,1131826463.0,2,2020-04-29T02:01:53.495,2020-04-29T02:11:21.377,2020-04-29T02:11:17.319,0.472794060970321
.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,5,2,2,1,4,1,3,1,2,3,4,2,4,4,95.0,41.0,1,3,5,1,1,2,2,6,1,70.0,4,1,1,5,3,1,2,6,4,2,5,8,2,.,.,.,1,.,.,.,1,2,5,2,6,1,1131830793.0,2,2020-04-29T02:03:39.034,2020-04-29T02:11:29.754,2020-04-29T02:11:18.458,0.5240057086402
1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,5,1,1,2,4,1,7,1,1,1,2,2,2,1,49.0,50.0,1,2,3,1,1,2,1,2,1,48.0,3,4,4,6,4,1,1,6,4,1,1,8,2,.,.,.,.,1,.,.,1,2,2,2,2,12,1131836659.0,1,2020-04-29T02:05:13.785,2020-04-29T02:12:31.744,2020-04-29T02:12:28.427,0.535392163002156
.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,5,1,1,1,1,6,4,3,3,3,3,3,3,3,55.0,58.0,1,2,3,1,1,1,1,2,2,58.0,3,1,1,5,3,5,2,26,2,1,2,2,1,.,.,.,.,1,1,.,.,2,5,2,1,5,1131793199.0,2,2020-04-29T02:07:36.287,2020-04-29T02:14:12.192,2020-04-29T02:14:08.518,0.524240686273447
1,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,5,2,2,2,4,1,5,2,3,5,2,3,4,5,50.0,65.0,1,2,3,2,2,4,3,3,1,57.0,3,1,1,5,3,5,2,47,3,1,4,3,1,.,.,.,.,1,.,.,1,4,6,2,7,9,1131836325.0,1,2020-04-29T02:01:55.556,2020-04-29T02:15:01.078,2020-04-29T02:14:56.897,0.960437961012451
1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,5,2,2,3,4,5,4,5,3,5,3,3,4,3,78.0,51.0,1,3,4,1,1,4,3,4,2,70.0,4,1,1,6,4,5,2,42,1,1,5,97,4,.,.,.,.,1,.,.,1,1,3,1,2,1,1131829189.0,1,2020-04-29T02:01:55.643,2020-04-29T02:15:12.529,2020-04-29T02:15:11.758,0.489025321542373
