Q1A,Q2A,Q1B,Q2B,Q3A,Q4A,Q3B,Q4B,Q5A,Q6A,Q5B,Q6B,Q7A,Q8A,Q7B,Q8B,Q9A,Q10A,Q9B,Q10B,Q11A,Q12A,Q11B,Q12B,Q13A,Q14A,Q13B,Q14B,Q15A,Q16A,Q15B,Q16B,Q17A,Q18A,Q17B,Q18B,Q19A,Q20A,Q19B,Q20B,Q21A,Q22A,Q21B,Q22B,Q23A,Q24A,Q23B,Q24B,Q25A,Q26A,Q25B,Q26B,Q27A,Q28A,Q27B,Q28B,Q29A,Q30A,Q29B,Q30B,Q31A,Q32A,Q31B,Q32B,Q33A,Q34A,Q33B,Q34B,Q35,Q36,Q37_1,Q37_2,Q37_3,Q37_4,pid3_pipe,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48_1,Q48_2,Q48_3,Q48_4,Q48_5,Q49,Q50,Q51,Q52,pid3,pid7,newsint,cablenews,cablenews_t,votereg,turnout22post,housevote22post,votemethod22,turnout20,ideo5,gender,birthyr,country_of_birth,age,age4,race,race4,hispanic,speakspanish,educ,educ4,pew_religimp,pew_churatd,pew_bornagain,pew_prayer,religpew,marstat,child18,ownrent,socialclass,faminc,income3,inputstate,region,urbancity,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,sexuality,student2,job,employstat2,employstat2_t,pid7_baseline,pid3_baseline,presvote20post,ideo3,starttime,endtime,rand_ab,weight
1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,1,1,1,1,1,1,5,1,2,1,4,2,9,1,1,3,3,3,1,1,50.0,50.0,3,1,1,2,2,2,__NA__,2,2,6,.,1,6,1,1963.0,840,60.0,3,3,3,1,2,2,1,4,6,2,1,11,5,2,2,4,97,4,12,3,2,2,2,1,2,2,2,2,1,.,3,.,6,__NA__,2,1,5,4,2024-03-19 08:28:31.264000,2024-03-19 08:50:12.187000,1,1.706398909847356
.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,2,3,3,3,1,3,2,4,3,3,2,3,4,3,9,2,2,4,3,3,4,1,62.0,68.0,2,2,2,6,3,2,__NA__,2,2,6,.,2,4,2,1985.0,840,38.0,2,1,3,1,4,1,1,4,6,2,7,11,6,2,2,5,4,1,48,3,1,2,2,2,2,1,2,2,1,.,3,.,4,__NA__,4,2,1,3,2024-03-18 19:50:24.696000,2024-03-18 20:12:42.049000,2,1.435803306879083
1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,2,2,2,2,1,1,2,2,1,2,1,2,6,1,5,1,3,3,1,4,8.0,8.0,3,2,1,1,1,1,__NA__,1,1,1,3,1,2,1,1952.0,840,71.0,4,1,1,2,4,2,1,3,6,2,6,2,1,2,1,4,4,1,12,3,2,2,2,1,2,2,2,2,1,.,3,.,5,__NA__,1,1,5,1,2024-03-18 19:51:07.933000,2024-03-18 20:13:52.657000,1,0.5249051436302342
.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,2,2,3,5,1,5,2,3,5,2,2,2,4,2,6,4,1,5,5,5,5,1,65.0,60.0,5,4,3,5,1,2,__NA__,1,1,2,1,1,4,1,1962.0,840,61.0,3,7,4,2,4,5,3,2,5,2,8,2,1,2,1,4,9,2,48,3,1,2,2,1,1,2,1,1,2,.,3,.,5,__NA__,6,3,2,3,2024-03-18 19:51:09.701000,2024-03-18 20:09:20.969000,2,0.644992666492613
1,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,5,1,2,2,3,.,.,4,3,1,1,1,5,6,2,3,2,2,3,2,2,51.0,68.0,4,1,3,4,3,1,__NA__,2,2,6,.,2,4,2,1980.0,581,43.0,2,3,3,1,3,2,1,2,5,2,2,11,1,1,2,4,11,3,48,3,1,2,2,2,2,1,2,2,1,.,3,.,1,__NA__,7,3,1,3,2024-03-18 19:51:41.400000,2024-03-18 20:12:35.299000,1,1.088691272524063
1,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,5,5,1,2,1,3,1,3,2,2,2,2,2,5,6,3,4,2,3,2,2,3,64.0,73.0,4,2,1,2,4,5,__NA__,1,2,6,.,2,6,2,1961.0,840,62.0,3,1,1,2,4,2,1,3,6,2,5,1,4,2,1,3,5,1,23,1,3,2,2,2,1,2,2,1,2,.,3,.,7,__NA__,2,1,1,4,2024-03-18 19:52:12.435000,2024-03-19 00:48:31.132000,1,0.7643809304828375
1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,1,5,1,5,1,3,1,2,2,2,4,2,6,3,5,5,3,5,1,3,30.0,68.0,3,2,3,3,1,1,__NA__,1,1,1,3,1,3,1,1956.0,840,67.0,4,1,1,2,4,6,4,4,6,2,7,9,1,2,1,3,5,1,41,4,1,2,2,2,1,2,2,2,1,.,3,.,5,__NA__,5,3,5,2,2024-03-18 19:52:27.338000,2024-03-18 20:14:10.073000,1,0.56799457739746
.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,1,1,1,2,1,3,2,5,2,2,2,1,4,2,6,1,1,4,3,4,3,2,89.0,70.0,5,1,2,7,1,4,Newsmax,1,1,2,1,1,5,1,1946.0,840,77.0,4,1,1,2,4,5,3,1,1,1,1,1,1,2,1,3,5,1,4,4,4,2,2,2,1,2,2,2,1,.,3,.,1,__NA__,3,2,2,3,2024-03-18 19:52:49.645000,2024-03-18 20:12:00.493000,2,0.9225974421029929
.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,1,1,2,3,1,3,1,3,2,2,2,2,4,2,6,2,5,3,4,5,1,4,13.0,93.0,2,1,3,3,1,5,__NA__,1,1,1,2,1,1,2,1964.0,840,59.0,3,1,1,2,4,6,4,4,5,2,5,2,1,2,1,3,9,2,51,3,1,2,1,2,1,2,2,2,1,.,3,.,1,__NA__,5,3,5,1,2024-03-18 19:52:49.865000,2024-03-18 23:59:10.645000,2,0.3646041515930163
1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,5,5,1,1,1,5,.,.,3,2,1,1,4,1,6,3,2,2,2,3,2,3,50.0,49.0,3,3,5,4,4,5,__NA__,1,2,6,.,2,6,1,1982.0,840,41.0,2,1,1,2,4,2,1,3,5,2,6,10,6,2,1,5,1,1,29,2,3,2,2,2,2,1,2,2,1,.,3,.,4,__NA__,7,5,1,4,2024-03-18 19:52:50.929000,2024-03-18 20:15:37.389000,1,1.28445359315865
1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,2,1,1,2,1,1,2,2,2,2,4,2,5,2,4,2,2,2,1,4,8.0,78.0,1,1,1,1,2,3,__NA__,1,1,1,2,1,1,2,1980.0,840,43.0,2,3,3,1,3,3,2,3,5,2,5,11,5,2,2,4,6,2,6,4,1,2,2,2,2,1,1,2,2,1,3,.,1,__NA__,1,1,5,1,2024-03-18 19:52:52.800000,2024-03-18 20:10:11.028000,1,0.6293052262319866
1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,4,2,3,3,3,3,.,.,3,2,3,2,2,5,6,2,3,3,3,3,3,3,50.0,60.0,3,2,3,4,3,5,__NA__,1,1,2,2,1,3,2,1975.0,840,48.0,3,1,1,2,4,6,4,2,4,2,6,11,3,2,1,3,7,2,42,1,1,2,2,2,1,2,2,2,1,.,3,.,1,__NA__,7,3,5,2,2024-03-18 19:53:01.027000,2024-03-18 20:08:03.763000,1,0.7138479194764364
1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,5,1,1,1,1,1,2,2,2,2,2,4,2,6,1,5,3,2,4,1,5,10.0,90.0,3,1,1,1,2,5,__NA__,1,1,1,2,1,1,2,1991.0,840,32.0,2,1,1,2,4,6,4,4,6,2,7,9,1,2,1,2,13,3,16,4,3,2,2,2,1,2,2,2,1,.,3,.,1,__NA__,1,1,5,1,2024-03-18 19:53:04.931000,2024-03-18 20:11:33.047000,1,0.8348078461521334
1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,2,1,1,2,1,2,2,2,2,2,4,2,6,1,5,2,5,5,2,5,10.0,85.0,5,1,1,2,1,5,__NA__,1,1,1,3,1,1,1,1996.0,840,28.0,1,6,4,2,4,6,4,4,6,2,7,11,5,2,2,4,5,1,36,1,1,2,2,2,2,1,1,2,2,.,3,.,1,__NA__,2,1,5,1,2024-03-18 19:53:05.341000,2024-03-18 20:21:52.304000,1,1.377002784909477
.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,1,1,2,2,1,2,2,3,2,2,2,2,4,5,6,2,2,5,3,5,2,3,90.0,52.0,5,5,3,5,1,4,Newsmax,1,1,2,1,1,5,1,1945.0,840,78.0,4,1,1,2,4,5,3,1,2,1,1,1,1,2,1,2,97,4,45,3,3,2,1,1,1,2,2,2,1,.,3,.,5,__NA__,6,3,2,3,2024-03-18 19:53:11.946000,2024-03-18 20:25:17.635000,2,0.6030163326775109
1,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,5,5,1,4,2,4,1,3,2,2,2,2,4,2,6,2,2,5,5,5,4,2,45.0,80.0,4,1,3,3,1,3,__NA__,1,1,5,2,1,3,1,1994.0,840,29.0,1,1,1,2,4,6,4,1,2,1,3,1,1,2,2,2,12,3,51,3,1,2,2,2,1,2,2,2,1,.,3,.,1,__NA__,5,3,5,2,2024-03-18 19:53:14.975000,2024-03-18 20:09:00.664000,1,2.72434402670466
.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,2,3,3,3,3,1,5,.,.,3,3,3,1,5,4,4,2,3,3,3,3,2,2,51.0,52.0,3,3,3,4,3,2,__NA__,1,2,6,.,2,6,2,1983.0,840,41.0,2,1,1,2,4,2,1,2,5,1,5,1,5,1,2,5,1,1,39,2,2,2,2,2,2,1,2,2,1,.,3,.,6,__NA__,7,3,1,4,2024-03-18 19:53:20.269000,2024-03-18 20:12:54.781000,2,0.8658811787916151
.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,1,2,3,3,3,3,2,3,2,1,1,3,3,4,1,4,2,3,2,3,2,4,36.0,49.0,4,3,2,7,4,2,__NA__,1,2,6,.,1,3,1,1967.0,840,56.0,3,1,1,2,4,2,1,1,2,1,1,1,1,2,1,5,1,1,21,3,4,2,2,2,2,1,2,2,1,.,3,.,6,__NA__,4,2,2,2,2024-03-18 19:53:47.567000,2024-03-18 20:28:02.130000,2,1.595476639958486
1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,3,1,1,4,1,4,1,5,1,2,3,2,4,2,6,1,5,5,5,5,1,4,10.0,80.0,3,1,1,1,1,1,__NA__,1,1,1,3,1,2,2,1976.0,840,47.0,3,2,2,2,4,5,3,4,5,2,6,3,3,2,2,4,4,1,48,3,1,2,2,2,1,2,2,2,1,.,3,.,1,__NA__,1,1,5,1,2024-03-18 19:53:54.272000,2024-03-18 20:33:07.990000,1,0.7377276160647263
.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,1,1,1,2,1,2,2,2,1,2,2,2,4,2,6,4,2,4,5,5,5,1,96.0,76.0,5,2,2,7,1,2,__NA__,1,1,2,2,1,5,1,1937.0,840,86.0,4,1,1,2,4,5,3,2,6,1,6,11,1,2,1,3,12,3,28,3,2,2,2,1,2,2,2,2,1,.,3,.,5,__NA__,3,2,2,3,2024-03-18 19:54:14.243000,2024-03-18 20:32:13.465000,2,0.8543510923320367
1,2,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,3,2,1,1,1,1,1,3,2,2,2,4,5,6,3,5,1,3,1,1,5,0.0,100.0,3,1,1,1,2,5,__NA__,1,1,1,2,1,1,2,1990.0,840,33.0,2,3,3,1,3,5,3,3,6,2,6,11,5,2,2,3,7,2,22,3,1,2,2,2,2,1,2,2,1,.,3,.,1,__NA__,1,1,5,1,2024-03-18 19:54:15.134000,2024-03-18 20:19:20.819000,1,0.3566957152369117
.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,1,1,1,1,1,1,1,3,2,2,2,2,4,2,6,1,5,2,3,4,1,4,1.0,90.0,1,2,1,1,1,5,__NA__,1,1,1,4,1,1,2,1946.0,840,77.0,4,1,1,2,4,6,4,4,6,2,7,9,1,2,1,2,97,4,41,4,2,2,2,2,2,1,1,2,2,.,3,.,5,__NA__,1,1,5,1,2024-03-18 19:54:18.665000,2024-03-18 20:05:06.102000,2,0.6231598749705921
.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,2,2,1,1,1,1,1,1,2,2,1,2,4,5,6,1,5,1,2,4,1,2,.,100.0,1,1,1,1,1,5,__NA__,1,1,1,2,1,1,1,1948.0,840,75.0,4,1,1,2,4,5,3,4,6,1,7,1,1,2,2,5,3,1,5,3,3,2,2,2,1,2,2,2,1,.,3,.,5,__NA__,1,1,5,1,2024-03-18 19:54:19.310000,2024-03-18 20:14:40.951000,2,0.5492024905850488
.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,1,1,1,2,1,1,2,4,3,2,2,2,4,3,6,1,2,3,4,3,1,2,73.0,57.0,3,2,2,7,2,5,__NA__,1,1,2,2,1,4,2,1977.0,840,46.0,3,1,1,2,4,5,3,1,1,1,1,1,1,1,1,3,11,3,21,3,4,2,2,2,2,1,2,2,1,.,3,.,1,__NA__,3,2,2,3,2024-03-18 19:54:39.537000,2024-03-18 20:55:50.557000,2,0.9631434008232069
