Q1A,Q2A,Q1B,Q2B,Q3A,Q4A,Q3B,Q4B,Q5A,Q6A,Q5B,Q6B,Q7A,Q8A,Q7B,Q8B,Q9A,Q10A,Q9B,Q10B,Q11A,Q12A,Q11B,Q12B,Q13A,Q14A,Q13B,Q14B,Q15A,Q16A,Q15B,Q16B,Q17A,Q18A,Q17B,Q18B,Q19A,Q20A,Q19B,Q20B,Q21A,Q22A,Q21B,Q22B,Q23A,Q24A,Q23B,Q24B,Q41A,Q42A,Q41B,Q42B,Q43A,Q44A,Q43B,Q44B,Q38,Q25,Q26,Q27,Q28,Q29,Q39,Q40,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q45,Q46,newsint,cablenews,ideo3,ideo5,votereg,votereg2,pid3,pid7,turnout20post,presvote20post,gender,birthyr,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,acsownrent,employstat2,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,volunteer,pew_religimp,pew_churatd,pew_bornagain,pew_prayer,religpew,rand_ab,starttime,endtime,lastmodified,caseid,weight
.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,5,3,3,1,4,3,7,4,3,4,1,3,5,.,.,3,1,1,1,1,1,1,1,1,2,2,6,1,1987.0,34.0,2,1,1,5,3,1,1,39,2,4,1,.,9,2,2,2,2,2,1,1,1,2,1,4,1,1,4,3,2,2021-04-07 16:13:55.621000,2021-04-07 16:18:50.630000,2021-04-07 16:18:47.894000,1415548979.0,1.33727164339203
1,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,3,1,2,1,8,4,4,1,1,3,5,.,.,2,3,4,1,2,3,1,1,2,7,2,6,2,1986.0,34.0,2,1,1,5,3,1,1,27,2,3,1,1,11,3,2,2,2,2,1,2,2,1,1,2,1,1,7,1,1,2021-04-07 16:14:45.035000,2021-04-07 16:19:05.158000,2021-04-07 16:19:00.803000,1415642381.0,1.1544319866858
2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,4,2,2,2,4,5,5,3,3,3,2,4,4,100.0,28.0,4,5,2,5,3,5,1,1,3,4,1,2,1,1997.0,23.0,1,1,1,3,2,5,2,5,3,4,1,.,1,1,1,1,.,.,.,.,.,1,2,1,4,2,4,1,1,2021-04-07 16:13:42.494000,2021-04-07 16:20:05.656000,2021-04-07 16:20:05.487000,1415642245.0,0.762331831282402
.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,2,1,3,3,5,3,2,5,1,3,2,2,5,.,.,5,1,3,1,2,3,1,1,3,4,2,6,1,1988.0,32.0,2,1,1,5,3,1,1,17,2,1,1,.,11,3,.,.,.,.,1,.,1,.,2,4,2,2,6,7,2,2021-04-07 16:14:52.663000,2021-04-07 16:21:07.270000,2021-04-07 16:21:03.858000,1415642397.0,1.33727164339203
.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,2,1,3,3,1,2,1,10,4,5,4,1,3,1,.,.,1,5,4,1,1,2,1,1,2,7,2,6,1,1989.0,32.0,2,1,1,5,3,1,2,48,3,2,1,1,10,3,.,.,.,1,.,1,.,.,2,4,6,2,4,2,2,2021-04-07 16:17:49.735000,2021-04-07 16:22:05.756000,2021-04-07 16:22:01.766000,1414629927.0,1.25777651108186
.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,5,1,1,2,4,5,5,3,3,3,3,3,3,63.0,64.0,3,3,2,3,4,6,1,1,3,3,1,1,2,1975.0,45.0,3,1,1,3,2,1,1,9,1,2,1,1,10,3,.,.,.,1,.,.,.,1,2,1,2,2,2,2,2,2021-04-07 16:16:05.405000,2021-04-07 16:25:15.825000,2021-04-07 16:25:15.335000,1415642563.0,0.727906302455327
2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,4,1,2,2,5,4,10,4,4,3,1,3,1,.,.,3,3,2,2,1,1,1,1,2,7,2,6,1,1989.0,32.0,2,1,1,5,3,1,1,4,4,4,1,.,9,2,1,1,1,1,2,1,1,2,1,3,1,2,1,3,1,2021-04-07 16:22:03.849000,2021-04-07 16:26:33.976000,2021-04-07 16:26:29.846000,1415648881.0,1.59966851381274
2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,4,2,2,2,4,2,6,3,3,2,2,3,2,60.0,83.0,4,3,2,4,4,6,1,1,2,6,1,2,2,1981.0,39.0,2,1,1,2,1,6,1,49,4,3,3,.,9,2,2,2,2,1,2,2,2,1,2,2,6,2,5,3,1,2021-04-07 16:15:08.589000,2021-04-07 16:26:54.681000,2021-04-07 16:26:47.294000,1415005015.0,1.20530080708849
1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,5,2,2,1,2,5,6,2,2,3,1,2,5,19.0,78.0,1,2,3,1,1,2,1,1,3,3,1,1,1,1971.0,49.0,3,1,1,5,3,5,2,48,3,1,2,2,3,1,.,.,.,1,.,.,.,1,1,3,3,1,2,11,1,2021-04-07 16:19:17.605000,2021-04-07 16:27:10.125000,2021-04-07 16:27:07.249000,1412856535.0,0.68742004549868
.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,1,3,3,3,3,4,3,9,5,1,4,4,4,2,.,.,3,2,3,1,3,5,1,1,2,7,2,6,1,1986.0,34.0,2,1,1,5,3,1,1,53,4,2,1,1,11,3,1,2,2,1,2,1,1,2,1,3,5,1,3,8,2,2021-04-07 16:23:24.112000,2021-04-07 16:27:36.904000,2021-04-07 16:27:32.786000,1415649055.0,1.59966851381274
