Personal Opinion: DOBBS V. JACKSON (Group A),Court Ruling: DOBBS V. JACKSON (Group A),Personal Opinion: DOBBS V. JACKSON (GROUP B),Court Ruling: DOBBS V. JACKSON (Group B),Personal Opinion: ROE V. WADE,Court Ruling: ROE V. WADE,Personal Opinion: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group A),Court Ruling: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group A),Personal Opinion: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group B),Court Ruling: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group B),Personal Opinion: CARSON V. MAKIN (Group A),Court Opinion: CARSON V. MAKIN (Group A),Personal Opinion: CARSON V. MAKIN (Group B),Court Opinion: CARSON V. MAKIN (Group B),Personal Opinion: U.S. V. ZUBAYDAH (GROUP A),Court Ruling: : U.S. V. ZUBAYDAH (GROUP A),Personal Opinion: U.S. V. ZUBAYDAH (GROUP B),Court Ruling: U.S. V. ZUBAYDAH (GROUP B),Personal Opinion: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group A),Court Ruling: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group A),Personal Opinion: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group B),Court Ruling: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group B),Personal Opinion: RAMIREZ V. COLLIER (Group A),Court Ruling: RAMIREZ V. COLLIER (Group A),Personal Opinion: RAMIREZ V. COLLIER (Group B),Court Ruling: RAMIREZ V. COLLIER (Group B),Personal Opinion: SHURTLEFF V. BOSTON (Group A),Court Ruling: SHURTLEFF V. BOSTON (Group A),Personal Opinion: SHURTLEFF V. BOSTON (Group B),Court Ruling: SHURTLEFF V. BOSTON (Group B),"Personal Opinion: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group A)","Court Ruling: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group A)","Personal Opinion: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group B)","Court Ruling: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group B)",Personal Opinion: BIDEN V. MISSOURI (Group A),Court Opinion: BIDEN V. MISSOURI (Group A),Personal Opinion: BIDEN V. MISSOURI (Group B),Court Opinion: BIDEN V. MISSOURI (Group B),Personal Opinion: WEST VIRGINIA V. EPA (Group A),Court Ruling: WEST VIRGINIA V. EPA (Group A),Personal Opinion: WEST VIRGINIA V. EPA (Group B),Court Ruling: WEST VIRGINIA V. EPA (Group B),Personal Opinion: TRUMP V. THOMPSON (Group A),Court Ruling: TRUMP V. THOMPSON (Group A),Personal Opinion: TRUMP V. THOMPSON (Group B),Court Ruling: TRUMP V. THOMPSON (Group B),Personal Opinion: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group A),Court Ruling: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group A),Personal Opinion: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group B),Court Ruling: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group B),Personal Opinion: BIDEN V. TEXAS (Group A),Court Ruling: BIDEN V. TEXAS (Group A),Personal Opinion: BIDEN V. TEXAS (Group B),Court Ruling: BIDEN V. TEXAS (Group B),Personal Opinion: OKLAHOMA V. CASTRO-HUERTA (Group A),Court Ruling: OKLAHOMA V. CASTRO-HUERTA (Group A),Personal Opinion: OKLAHOMA V. CASTRO-HUERTA (Group B),Court Ruling: OKLAHOMA V. CASTRO-HUERTA (Group B),Typical Court Votes,Justice Tenure,Last Say in Conflict of Meaning,Justice Selection,Current Chief Justice,Most Recent Justice,Republican Appointed Justices,Appointing President Partisanship Effects,How much do you approve of the performance of the Supreme Court?,Judges at odds with the people should be removed,U.S. Supreme Court is too independent,"If the U.S. Supreme Court started making a lot of decisions that most people disagree with, it might be better to do away with the Supreme Court altogether",The U.S. Supreme Court gets too mixed up in politics,The U.S. Supreme Court can be trusted to make right decisions,Respondent Ideology,Court Ideology,Increase Court Size,Limit Court Terms,Closeness to Ketanji Brown Jackson,Senate and Consideration to Nominees,Should Ketanji Brown Jackson be Approved,"Appropriateness of ""Shadow Docket"" Rulings",Political Interest,Most watched cable news network,Ideology - 3 categories,Ideology - 5 categories,Voter Registration Status,Voter Registration - 2 categories,Party ID - 3 categories,Party ID - 7 categories,2020 Turnout,2020 President Vote Post Election,Gender,Birth Year,Age,Age - 4 categories,Race,Race - 4 categories,Educational Attainment,Education - 4 categories,Marital Status,Children Under 18,State of Residence,Census Region,Area Type,Own or Rent Home,Employment status among non-students,Family income,Family Income - 3 categories,Military Household - I am,Military Household - Family,Military Household - I served previously,Military Household - Family served previously,Military Household - None,"Yes, I am","Yes, household member is",No,Volunteer Activities,Importance of Religion,Church Attendance,Born Again,Prayer Frequency,Affiliation,A/B Randomization,Questionnaire Start Time,Questionnaire End Time,Questionnaire Last Modified Time,Case ID,weight
2,2,.,.,1,1,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,3,1,1,1,3,1,9,1,1,1,1,1,1,1,99.0,99.0,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1995.0,26.0,1,2,2,6,4,5,2,48,3,2,1,.,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2022-03-30 20:59:09.306000,2022-03-30 21:02:08.358000,2022-03-30 21:02:04.759000,1769274135.0,0.577328217796977
.,.,2,2,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,3,3,3,3,5,5,4,3,3,3,3,3,3,2,50.0,58.0,3,3,3,1,1,2,4,5,4,6,2,2,3,4,2,6,2,1982.0,40.0,2,1,1,3,2,1,2,39,2,3,1,1,10,3,2,2,2,2,1,2,2,1,2,4,6,2,7,11,2,2022-03-30 20:56:36.289000,2022-03-30 21:04:54.636000,2022-03-30 21:04:52.476000,1769208635.0,1.13968206685845
.,.,2,2,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,2,2,2,2,4,5,6,3,2,5,5,5,3,3,55.0,51.0,5,4,3,1,1,1,1,5,2,3,1,1,4,5,1,3,1,1969.0,53.0,3,1,1,2,1,1,2,42,1,2,1,3,7,2,2,2,2,1,2,1,2,2,2,1,5,2,3,2,2,2022-03-30 20:59:51.938000,2022-03-30 21:08:12.200000,2022-03-30 21:08:08.725000,1769268239.0,1.02048523627474
2,1,.,.,2,1,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,3,3,3,3,3,4,7,.,3,2,3,2,4,2,80.0,91.0,2,2,2,2,2,1,3,3,1,2,1,1,3,5,1,1,2,1987.0,34.0,2,1,1,4,2,3,2,24,3,1,2,4,2,1,2,2,2,2,1,2,2,1,1,3,2,1,5,2,1,2022-03-30 20:57:57.202000,2022-03-30 21:05:24.477000,2022-03-30 21:05:23.894000,1769274025.0,0.940966273069612
1,2,.,.,2,1,2,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,2,2,4,5,6,1,5,3,3,4,1,4,6.0,89.0,4,1,3,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1960.0,61.0,3,1,1,5,3,1,2,45,3,2,1,2,10,3,2,2,2,1,2,2,2,1,2,4,4,2,6,1,1,2022-03-30 20:56:34.148000,2022-03-30 21:08:49.765000,2022-03-30 21:08:49.011000,1769268783.0,0.921252522011255
.,.,2,2,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,1,1,1,1,2,1,4,1,3,3,3,3,3,3,50.0,68.0,3,3,3,1,1,2,4,5,2,3,2,2,3,4,2,6,2,1974.0,47.0,3,1,1,5,3,5,2,5,3,4,2,6,1,1,2,2,2,2,1,2,2,1,2,1,5,1,2,1,2,2022-03-30 21:02:15.292000,2022-03-30 21:11:47.504000,2022-03-30 21:11:42.840000,1769277647.0,0.981296426639402
1,2,.,.,2,2,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,2,3,4,5,5,3,3,5,5,5,3,2,67.0,67.0,5,1,2,1,2,1,1,5,2,3,1,1,2,7,1,2,2,2000.0,21.0,1,1,1,3,2,5,2,18,2,1,2,.,1,1,2,2,2,2,1,2,2,1,2,2,3,2,4,12,1,2022-03-30 20:59:47.071000,2022-03-30 21:12:04.514000,2022-03-30 21:12:04.350000,1769274203.0,1.11683834914037
.,.,2,2,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,1,2,2,2,4,5,5,4,3,2,4,3,3,2,80.0,54.0,5,2,2,1,2,2,1,2,3,4,1,1,2,7,1,2,2,1946.0,75.0,4,1,1,6,4,1,2,47,3,2,1,5,9,2,2,2,2,1,2,2,2,1,2,2,6,2,1,2,2,2022-03-30 20:59:16.631000,2022-03-30 21:13:34.106000,2022-03-30 21:13:30.422000,1769274143.0,1.01538232308884
.,.,1,1,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,2,2,2,2,4,5,6,4,3,4,4,5,4,3,50.0,58.0,5,3,2,1,2,1,1,5,2,3,1,1,3,4,1,3,2,1983.0,38.0,2,1,1,6,4,1,2,20,2,1,1,1,12,3,2,2,2,1,2,2,2,1,2,4,6,2,7,10,2,2022-03-30 21:01:56.531000,2022-03-30 21:14:12.364000,2022-03-30 21:14:08.789000,1769277617.0,1.45401782670529
.,.,1,1,2,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,3,1,3,3,1,4,5,3,2,5,1,2,4,3,61.0,76.0,1,2,2,2,1,1,7,5,4,6,2,2,5,8,2,6,2,2000.0,21.0,1,6,4,2,1,1,2,6,4,1,1,4,1,1,2,2,2,2,1,2,2,1,2,1,1,2,7,12,2,2022-03-30 21:11:18.256000,2022-03-30 21:15:38.333000,2022-03-30 21:15:35.496000,1769282411.0,1.01612451231719
