id,male,age,education,party,dealdebt,tea
1,1,68,2,3,1,1
2,1,21,3,1,3,0
3,1,62,3,2,1,1
4,1,75,3,2,1,0
5,1,68,4,1,3,0
6,1,55,3,1,2,0
7,1,35,4,1,3,0
8,1,36,2,2,1,1
9,1,20,2,1,1,0
10,1,70,4,1,3,0
11,0,48,3,2,1,0
12,0,46,2,3,1,0
13,0,61,2,1,3,0
14,1,59,2,1,3,0
15,0,50,4,2,3,0
16,0,19,2,1,3,0
17,1,83,4,1,3,0
18,1,23,3,1,3,0
19,1,41,4,2,3,1
20,0,44,2,1,3,0
21,1,66,3,2,1,1
22,1,75,4,2,2,0
23,1,83,4,2,3,1
24,0,71,3,3,1,1
25,0,48,3,1,3,0
26,1,72,2,3,1,1
27,1,49,3,3,1,1
28,0,53,2,1,3,0
29,0,76,2,1,3,0
30,1,60,4,1,3,0
31,1,66,3,2,1,1
32,1,56,2,2,1,0
33,1,22,1,2,1,0
34,1,52,3,1,1,0
35,0,59,4,1,3,0
36,1,73,2,2,1,1
37,1,55,4,1,3,0
38,1,64,4,3,1,1
39,1,68,4,2,1,1
40,1,64,4,2,1,1
41,1,55,2,1,1,0
42,0,50,3,1,3,0
43,1,55,4,2,1,0
44,0,63,4,2,1,1
45,0,60,4,2,1,1
46,0,29,2,2,1,0
47,1,37,4,2,1,0
48,0,56,4,3,3,1
49,1,48,4,2,2,0
50,1,63,4,2,3,0
51,1,64,4,2,1,0
52,1,31,2,2,1,0
53,1,41,3,2,1,0
54,1,53,4,3,1,1
55,0,29,3,2,3,0
56,0,47,3,3,3,0
57,0,69,2,2,1,1
58,0,75,3,3,3,0
59,0,53,4,1,1,0
60,1,53,4,2,1,1
61,0,70,4,1,2,0
62,0,64,3,1,1,0
63,1,62,4,3,1,1
64,1,40,4,3,1,1
65,0,60,3,1,1,0
66,0,42,2,1,3,0
67,0,43,4,3,1,0
68,1,49,2,1,1,0
69,0,50,2,2,1,0
70,0,25,4,3,1,0
71,1,38,4,3,1,1
72,0,43,3,3,1,1
73,1,61,4,1,1,0
74,1,59,4,3,1,1
75,0,42,4,1,1,0
76,0,40,3,3,1,1
77,0,60,4,3,3,1
78,0,22,2,1,1,0
79,1,28,4,1,3,0
80,1,59,3,3,1,1
81,1,78,2,1,1,0
82,1,43,4,2,3,0
83,1,42,4,2,3,0
84,0,62,4,2,1,0
85,0,22,3,2,1,0
86,1,52,2,2,1,1
87,0,67,2,1,1,0
88,0,54,4,1,3,0
89,1,64,4,2,3,0
90,0,44,2,3,1,1
91,1,69,4,2,1,1
92,0,60,3,1,3,0
93,0,70,4,1,2,0
94,0,55,4,2,3,0
95,1,58,4,3,1,0
96,1,67,3,2,3,0
97,0,75,3,2,3,1
98,0,62,4,1,3,0
99,0,57,3,1,1,0
100,1,53,4,3,1,1
101,1,21,3,2,1,1
102,0,63,3,2,1,1
103,1,27,4,1,3,0
104,1,63,2,2,1,1
105,0,57,2,3,1,1
106,1,49,4,1,1,0
107,0,55,4,3,3,1
108,0,52,4,1,3,1
109,0,51,3,3,1,1
110,0,65,2,3,1,1
111,0,40,3,2,3,0
112,0,45,2,3,3,1
113,0,25,3,1,1,0
114,0,24,4,3,1,0
115,0,65,4,2,3,0
116,1,41,3,3,1,1
117,1,68,4,2,3,0
118,1,57,1,2,1,0
119,1,66,3,1,3,0
120,1,19,2,3,3,0
121,0,30,3,1,3,0
122,1,69,4,1,3,0
123,0,73,2,1,1,1
124,0,63,4,1,1,0
125,0,33,2,2,1,0
126,1,56,3,2,1,1
127,1,65,4,2,1,0
128,0,42,4,1,3,0
129,0,49,4,2,3,1
130,0,34,4,1,1,0
131,0,51,2,3,3,0
132,1,31,1,1,1,0
133,1,48,2,1,1,0
134,0,29,3,3,1,1
135,0,28,4,2,3,0
136,1,52,4,2,1,0
137,1,51,3,3,3,0
138,1,45,2,3,1,0
139,0,41,3,2,1,0
140,1,45,4,3,1,1
141,0,63,2,2,1,0
142,0,70,2,1,3,0
143,0,22,3,1,3,0
144,0,68,3,2,1,0
145,0,51,3,2,3,1
146,1,25,4,3,3,0
147,0,56,3,2,1,1
148,0,48,4,1,1,0
149,0,22,3,2,1,0
150,0,57,3,1,1,0
151,0,46,3,2,3,0
152,0,61,4,3,1,1
153,1,40,4,3,1,1
154,1,55,3,3,1,1
155,0,66,3,1,3,0
156,1,39,3,2,1,0
157,0,55,2,2,3,0
158,0,64,4,1,3,0
159,1,74,4,1,3,0
160,1,41,4,2,1,1
161,1,71,3,3,1,1
162,0,20,3,3,1,0
163,1,69,2,2,3,1
164,1,65,4,1,3,0
165,1,31,3,3,1,0
166,0,82,4,2,3,0
167,0,47,4,2,1,1
168,0,67,4,1,3,0
169,0,29,3,2,1,0
170,0,66,3,2,3,0
171,0,27,4,3,1,1
172,1,55,4,1,3,0
173,1,23,4,3,2,0
174,1,44,3,2,1,0
175,0,55,4,1,1,0
176,1,78,2,3,1,1
177,1,20,3,1,3,0
178,0,47,2,3,3,1
179,0,25,4,2,2,0
180,1,58,4,3,1,1
181,1,73,4,2,1,1
182,0,61,3,3,1,0
183,0,61,4,1,2,0
184,0,50,3,3,1,1
185,0,33,4,2,3,0
186,1,64,4,1,3,0
187,0,55,3,3,1,1
188,0,72,3,2,1,0
189,1,79,3,2,3,0
190,1,78,4,2,3,0
191,1,45,2,2,3,0
192,1,69,3,1,1,0
193,1,39,4,3,1,1
194,0,43,4,1,2,0
195,0,53,4,1,3,0
196,0,46,4,2,1,1
197,1,59,4,2,3,0
198,0,63,2,1,1,0
199,1,25,4,1,3,0
200,1,21,3,1,1,0
201,1,45,3,3,1,1
202,0,73,4,2,1,0
203,0,61,4,1,3,0
204,0,64,2,2,1,0
205,1,76,2,2,3,0
206,1,69,4,2,3,0
207,0,32,4,2,3,0
208,1,71,4,2,1,1
209,1,46,4,2,1,0
210,0,53,3,2,1,1
211,0,37,3,3,1,1
212,1,66,4,3,1,1
213,1,68,4,3,1,0
214,1,20,2,1,1,0
215,1,38,3,1,1,0
216,1,52,2,1,3,0
217,0,60,4,2,1,1
218,1,68,3,2,1,1
219,1,59,1,1,1,0
220,0,62,4,1,3,0
221,1,23,4,3,1,1
222,0,53,4,3,1,1
223,0,67,2,1,3,0
224,1,49,1,2,3,1
225,0,54,4,3,1,1
226,0,48,2,2,1,0
227,0,79,4,1,3,0
228,0,20,2,2,1,0
229,0,29,4,2,3,1
230,0,68,3,1,2,0
231,1,53,1,2,1,0
232,1,39,4,2,1,1
233,1,24,4,3,3,0
234,0,36,4,2,1,0
235,0,67,2,1,1,0
236,0,59,4,1,3,0
237,1,40,3,3,1,1
238,0,49,4,2,3,1
239,1,41,4,1,3,0
240,1,59,4,2,3,0
241,1,29,3,2,1,0
242,0,56,3,1,3,0
243,1,25,2,1,3,0
244,1,58,3,2,3,1
245,0,40,3,2,1,0
