,q1a,q2a,q1b,q2b,q3a,q4a,q3b,q4b,q5a,q6a,q5b,q6b,q7a,q8a,q7b,q8b,q9a,q10a,q9b,q10b,q11a,q12a,q11b,q12b,q13a,q14a,q13b,q14b,q15a,q16a,q15b,q16b,q17a,q18a,q17b,q18b,q19a,q20a,q19b,q20b,q21a,q22a,q21b,q22b,q23a,q24a,q23b,q24b,q38,q25,q26,q27,q28,q29,q39,q40,q37,q30,q31,q32,q33,q34,q35,q36,newsint,ideo3,ideo5,votereg,votereg2,presvote16x,pid3,pid7,gender,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,employ,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,pew_religimp,pew_churatd,pew_bor.gain,pew_prayer,religpew,caseid,rand_ab,starttime,endtime,lastmodified,weight,fire_gays_per,fire_gays_court,fire_trans_per,fire_trans_court,daca_per,daca_court,handguns_per,handguns_court,scholarships_per,scholarships_court,abortion_per,abortion_court,trump_congress_per,trump_congress_court,trump_state_per,trump_state_court,cfpb_per,cfpb_court,electoralcollege_per,electoralcollege_court,contraceptives_per,contraceptives_court,aca_per,aca_court,justice_selection,justice_selection_correct,justice_term,justice_term_correct,last_say,last_say_correct,current_chief,current_chief_correct,most_recent,most_recent_correct,gop_appt,gop_appt_correct,total_correct,typical_votes,partisan_effect,diffuse2,diffuse3,approval,diffuse1,diffuse4,diffuse5,ideology_perso.l,ideology_court,polinterest,ideology3,ideology5,pid3_recoded,ideal,ideal_sotomayor,ideal_ginsburg,ideal_kagan,ideal_breyer,ideal_roberts,ideal_kava.ugh,ideal_alito,ideal_gorsuch,ideal_thomas,ideal_courtmajority,fire_gays_scotus,fire_trans_scotus,daca_scotus,handguns_scotus,scholarships_scotus,abortion_scotus,trump_congress_scotus,trump_state_scotus,cfpb_scotus,electoralcollege_scotus,contraceptives_scotus,aca_scotus,idealg,perception,idealg_sotomayor,idealg_ginsburg,idealg_kagan,idealg_breyer,idealg_roberts,idealg_kava.ugh,idealg_alito,idealg_gorsuch,idealg_thomas,idealg_courtmajority
1,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,5,2,2,2,4,1,6,1,4,2,4,2,2,3,20,83,2,1,2,1,1,1,1,1,1,38,2,1,1,6,4,1,1,17,2,2,1,12,3,.,.,.,1,.,.,1,.,4,4,2,7,9,1131836313,1,2020-04-29T02:01:48.148,2020-04-29T02:08:17.779,2020-04-29T02:08:14.864,1.153542399,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,2,1,2,2,2,1,2,1,2,1,4,1,1,1,6,0,5,5,1,4,2,4,2,2,3,20,83,2,1,2,1,-1.691294808,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.579885991,-0.096158742,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,1,2,2,2,4,1,5,2,5,4,5,1,2,5,2,100,1,1,1,1,1,1,1,1,2,45,3,1,1,6,4,5,2,36,1,1,1,97,4,2,2,2,1,2,2,2,1,3,2,2,3,2,1131829097,2,2020-04-29T02:01:36.679,2020-04-29T02:09:41.204,2020-04-29T02:09:34.145,0.524240673,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,4,1,1,1,5,1,6,1,2,5,1,5,4,2,5,2,100,1,1,1,1,-1.690760102,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.590841969,-1.570497678,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
3,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,4,2,2,3,1,1,6,5,2,5,3,1,3,3,97,52,1,3,5,1,1,2,2,7,2,54,3,1,1,5,3,6,2,56,4,2,4,3,1,.,.,.,.,1,.,.,1,1,3,1,1,1,1131836349,1,2020-04-29T02:02:13.409,2020-04-29T02:10:07.261,2020-04-29T02:10:00.229,0.622956097,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,3,0,1,0,1,1,6,0,3,4,5,3,1,2,5,3,3,97,52,1,3,5,2,1.412860218,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,1.448741489,1.460878613,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
4,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,5,2,2,2,4,1,5,1,5,5,4,2,5,5,4,76,2,1,1,1,1,1,1,1,1,70,4,1,1,6,4,1,2,48,3,1,5,12,3,.,.,.,.,1,.,.,1,1,2,1,2,1,1131836457,2,2020-04-29T02:03:08.115,2020-04-29T02:10:56.570,2020-04-29T02:10:48.056,1.48232913,1,2,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,4,1,1,1,5,1,6,5,1,4,2,5,5,5,5,4,76,2,1,1,1,-1.046992641,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.083698948,0.239295346,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
5,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,5,2,1,2,3,1,5,3,2,4,2,2,3,2,86,47,1,3,4,1,1,4,2,6,1,51,3,1,1,5,3,1,1,48,3,2,1,14,3,.,.,1,.,.,.,.,1,1,3,2,2,2,1131826463,2,2020-04-29T02:01:53.495,2020-04-29T02:11:21.377,2020-04-29T02:11:17.319,0.472794056,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,0,2,1,3,0,1,1,5,1,4,5,3,2,2,2,4,3,2,86,47,1,3,4,2,2.201308221,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,2.185677318,1.047598779,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
6,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,5,2,2,1,4,1,3,1,2,3,4,2,4,4,95,41,1,3,5,1,1,2,2,6,1,70,4,1,1,5,3,1,2,6,4,2,5,8,2,.,.,.,1,.,.,.,1,2,5,2,6,1,1131830793,2,2020-04-29T02:03:39.034,2020-04-29T02:11:29.754,2020-04-29T02:11:18.458,0.524005711,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,0,4,1,1,1,3,0,4,5,1,4,2,2,3,4,4,95,41,1,3,5,2,1.414207286,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,1.457825461,1.159931531,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
7,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,5,1,1,2,4,1,7,1,1,1,2,2,2,1,49,50,1,2,3,1,1,2,1,2,1,48,3,4,4,6,4,1,1,6,4,1,1,8,2,.,.,.,.,1,.,.,1,2,2,2,2,12,1131836659,1,2020-04-29T02:05:13.785,2020-04-29T02:12:31.744,2020-04-29T02:12:28.427,0.535392165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,1,4,1,1,1,7,0,3,5,1,2,2,1,1,2,1,49,50,1,2,3,1,-0.107534002,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-0.202685269,-0.201692096,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
8,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,5,1,1,1,1,6,4,3,3,3,3,3,3,3,55,58,1,2,3,1,1,1,1,2,2,58,3,1,1,5,3,5,2,26,2,1,2,2,1,.,.,.,.,1,1,.,.,2,5,2,1,5,1131793199,2,2020-04-29T02:07:36.287,2020-04-29T02:14:12.192,2020-04-29T02:14:08.518,0.524240673,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,0,1,0,1,0,1,0,6,0,4,0,0,5,3,3,3,3,3,3,3,55,58,1,2,3,1,-1.679615374,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.595608869,-1.605958783,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
9,1,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,5,2,2,2,4,1,5,2,3,5,2,3,4,5,50,65,1,2,3,2,2,4,3,3,1,57,3,1,1,5,3,5,2,47,3,1,4,3,1,.,.,.,.,1,.,.,1,4,6,2,7,9,1131836325,1,2020-04-29T02:01:55.556,2020-04-29T02:15:01.078,2020-04-29T02:14:56.897,0.960437953,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,4,1,1,1,5,1,6,5,2,2,3,3,5,4,5,50,65,1,2,3,3,-1.354865249,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-1.326525729,-0.251802787,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
10,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,5,2,2,3,4,5,4,5,3,5,3,3,4,3,78,51,1,3,4,1,1,4,3,4,2,70,4,1,1,6,4,5,2,42,1,1,5,97,4,.,.,.,.,1,.,.,1,1,3,1,2,1,1131829189,1,2020-04-29T02:01:55.643,2020-04-29T02:15:12.529,2020-04-29T02:15:11.758,0.489025325,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,3,0,4,1,5,0,4,0,3,5,5,3,3,3,5,4,3,78,51,1,3,4,3,-0.549901196,-1.576926214,-1.261631086,-1.019755939,-1.031234998,0.247301876,0.409131052,1.777369613,0.361981523,2.45355448,0.073047054,1,1,1,.,2,1,2,1,2,1,1,.,-0.613192208,-0.602999277,-1.608605404,-1.272384503,-1.048659663,-1.055216153,0.287231732,0.427593818,1.84587806,0.399304245,2.548210353,0.106004509
