,q1a,q2a,q1b,q2b,q3a,q4a,q3b,q4b,q5a,q6a,q5b,q6b,q7a,q8a,q7b,q8b,q9a,q10a,q9b,q10b,q11a,q12a,q11b,q12b,q13a,q14a,q13b,q14b,q15a,q16a,q15b,q16b,q17a,q18a,q17b,q18b,q19a,q20a,q19b,q20b,q21a,q22a,q21b,q22b,q23a,q24a,q23b,q24b,q25a,q26a,q25b,q26b,q27a,q28a,q27b,q28b,q39,q40_1_1,q40_2_1,q40_3_1,q40_4_1,q40_5_1,q40_6_1,q40_7_1,q40_8_1,q40_9_1,q40_10_1,qdobbs,q29,q30,q31,q32,q33,q34,q35,q36,pid3,pid7,pid7others,q37,q38,q41,q42_1,q42_2,q42_3,q42_4,q43,q44,q45,q46,q47,q48,q49,q50,q51,q52,q53_1,q53_2,q53_3,q53_4,q53_5,q54,q55,q56,q57,newsint,cablenews,ideo3,ideo5,votereg,votereg2,turnout22post,housevote22,votemethod22,turnout20post,presvote20post,gender,birthyr,age,age4,race,race4,hispanic,educ,educ4,marstat,child18,inputstate,region,urbancity,acsownrent,employstat2,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,volunteer,pew_religimp,pew_churatd,pew_bornagain,pew_prayer,religpew,rand_ab,starttime,endtime,lastmodified,weight,affactionprivate_per,affactionprivate_court,affactionpublic_per,affactionpublic_court,fedelections_per,fedelections_court,gaydiscrim_per,gaydiscrim_court,gerrymandering_per,gerrymandering_court,cleanwater_per,cleanwater_court,commerce_per,commerce_court,copyright_per,copyright_court,algorithm_per,algorithm_court,socialmedia_per,socialmedia_court,studentloans_per,studentloans_court,unions_per,unions_court,native_per,native_court,religion_per,religion_court,case_recall,case_remembered_1,case_remembered_2,case_remembered_3,case_remembered_4,case_remembered_5,case_remembered_6,case_remembered_7,case_remembered_8,case_remembered_9,case_remembered_10,dobbs,contraception_per,contraception_court,sodomy_per,sodomy_court,gaymarriage_per,gaymarriage_court,interracial_per,interracial_court,pid3_recoded,pid7_recoded,leaders_mention,leaders_important,court_reputation,leaders_criticize,justices_interpret,justices_education,justices_agree,justices_sameparty,justice_selection,justice_selection_correct,justice_term,justice_term_correct,last_say,last_say_correct,current_chief,current_chief_correct,most_recent,most_recent_correct,gop_appt,gop_appt_correct,total_correct,typical_votes,partisan_effect,approval,diffuse2,diffuse3,diffuse1,diffuse4,diffuse5,ideology_personal,ideology_court,courtexpand,courttermlimits,polinterest,ideology3,ideology5,ideal,ideal_sotomayor,ideal_kagan,ideal_jackson,ideal_roberts,ideal_kavanaugh,ideal_barrett,ideal_gorsuch,ideal_alito,ideal_thomas,ideal_courtmajority,affactionprivate_scotus,affactionpublic_scotus,fedelections_scotus,gaydiscrim_scotus,gerrymandering_scotus,cleanwater_scotus,commerce_scotus,copyright_scotus,algorithm_scotus,socialmedia_scotus,studentloans_scotus,unions_scotus,native_scotus,religion_scotus,idealg,perception,idealg_sotomayor,idealg_kagan,idealg_jackson,idealg_roberts,idealg_kavanaugh,idealg_barrett,idealg_gorsuch,idealg_alito,idealg_thomas,idealg_courtmajority
1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,5,8,8,.,.,good,3,3,3,3,.,2,2,2,2,4,2,4,2,3,3,3,3,3,3,50,53,3,3,3,5,2,3,2,2,2,.,.,1,6,1,1990,32,2,1,1,2,6,4,5,2,51,3,2,1,.,8,2,2,2,2,2,1,2,2,1,2,4,6,2,7,1,2,00:56.2,03:44.9,03:44.3,2.174407244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,3,8,.,.,good,.,3,3,3,3,2,1,2,1,2,1,4,1,2,1,4,0,5,2,2,3,3,3,3,3,3,50,53,3,3,3,2,3,1.645824379,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1.746464649,1.763513967,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,2,1,1,1,2,1,2,3,3,.,.,.,.,2,1,2,1,.,3,1,1,2,2,2,7,2,1,2,2,3,1,2,65,88,2,1,3,1,3,4,1,1,1,1,2,1,1,1,1987,36,2,1,1,2,5,3,1,1,12,3,3,1,1,10,3,2,2,2,2,1,1,2,2,1,1,2,1,2,2,2,03:57.4,09:30.0,09:24.6,1.304598808,1,2,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,2,1,1,1,2,1,2,3,3,.,.,.,.,2,1,2,1,2,1,1,0,1,0,2,0,2,1,7,0,2,3,2,1,3,2,1,2,2,65,88,2,1,3,3,4,-0.04751743,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-0.18654858,-0.446857716,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
3,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,2,.,.,1,Roe vs Eade,Miranda vs Arizona,Obergfell,,,,,,,,2,2,1,2,1,2,1,2,1,1,1,.,2,2,"right now not very good - way too conservative and too connected with the last administration, also compromised by Judge Thomas's wife's actions",1,2,3,3,3,2,2,2,2,4,2,5,2,5,2,2,1,1,3,10,97,1,1,1,5,1,1,1,1,1,1,2,1,1,2,1952,70,4,1,1,2,3,2,5,2,36,1,1,2,5,97,4,2,2,2,2,1,1,2,2,2,3,5,2,6,5,1,04:23.5,14:52.2,14:51.7,0.758500993,1,1,1,1,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,Roe vs Eade,Miranda vs Arizona,Obergfell,,,,,,,,2,2,1,2,1,2,1,2,1,1,1,2,2,"right now not very good - way too conservative and too connected with the last administration, also compromised by Judge Thomas's wife's actions",3,1,2,3,3,2,1,2,1,2,1,4,1,2,1,5,0,5,2,2,5,1,3,1,2,2,10,97,1,1,1,1,1,-0.501723158,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-0.442946806,1.314298644,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
4,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,1,Roe v. Wade,Brown v. Board of Education,Obergefell v. Hodges,Lawrence v. Texas,DC v. Heller,Bush v. Gore,Hawaii v. Trump,Tinker v. Des Moines,Marbury v. Madison,Plessy v. Ferguson,2,2,2,2,1,2,1,2,2,1,1,.,3,1,Fascist,3,1,3,2,1,2,2,2,2,4,2,6,1,5,1,1,1,1,5,0,100,1,2,1,5,1,1,1,1,1,3,3,1,1,1,2002,20,1,1,1,2,3,2,5,2,19,2,1,2,.,11,3,2,2,2,2,1,2,2,1,1,4,6,2,6,10,2,05:06.8,16:18.0,16:17.9,1.12642777,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,Roe v. Wade,Brown v. Board of Education,Obergefell v. Hodges,Lawrence v. Texas,DC v. Heller,Bush v. Gore,Hawaii v. Trump,Tinker v. Des Moines,Marbury v. Madison,Plessy v. Ferguson,2,2,2,2,1,2,1,2,2,1,1,3,1,Fascist,1,3,1,3,2,2,1,2,1,2,1,4,1,2,1,6,1,6,2,1,5,1,5,1,1,1,0,100,1,2,1,1,1,-2.243467965,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-2.187367336,0.978129626,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
5,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,Roe v wade,dred scott,citizens united,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,.,2,1,"Slipping, leaning too far right and under influence",1,2,1,5,3,1,2,2,2,4,2,6,2,4,4,4,5,2,4,20,80,3,3,1,1,1,2,1,1,2,.,.,1,1,2,1953,70,4,1,1,2,3,2,5,2,41,4,4,2,5,3,1,2,2,2,1,2,2,2,1,2,1,4,2,1,2,1,00:35.9,16:41.5,16:37.0,0.794103146,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,Roe v wade,dred scott,citizens united,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,1,"Slipping, leaning too far right and under influence",3,1,2,1,5,2,1,2,1,2,1,4,1,2,1,6,1,6,1,2,4,5,4,2,4,4,20,80,3,3,1,1,2,-1.416977748,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-1.362141212,-1.374408615,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
6,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,3,4,.,.,.,The Supreme Court is ruining its reputation by involvement in medical and personal choice issues. It is the courts job to rule on things to keep our citizens safe. They have no business messing with personal medical issues,2,5,1,5,.,2,2,3,2,4,2,4,4,5,5,3,5,2,3,69,93,5,3,3,5,3,4,1,1,1,2,2,1,2,2,1956,66,4,1,1,2,4,2,1,2,47,3,4,1,5,6,2,2,2,2,2,1,2,1,2,2,2,6,2,1,11,2,04:51.5,16:50.7,16:50.3,0.723246336,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,3,4,.,.,The Supreme Court is ruining its reputation by involvement in medical and personal choice issues. It is the courts job to rule on things to keep our citizens safe. They have no business messing with personal medical issues,.,2,5,1,5,2,1,2,1,3,0,4,1,2,1,4,0,4,2,4,5,5,3,2,3,5,69,93,5,3,3,3,4,1.12572547,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1.186283921,-0.113786731,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
7,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,1,peter,,,,,,,,,,1,1,1,1,1,2,1,2,1,1,2,.,2,2,beta,3,4,1,2,2,5,1,2,1,2,3,7,1,2,2,2,3,1,4,53,83,2,1,2,3,2,3,1,1,1,1,3,1,1,1,1985,37,2,1,1,2,3,2,1,1,4,4,1,1,1,13,3,2,2,2,2,1,2,2,1,1,2,3,1,3,2,2,05:50.4,17:15.6,17:12.9,1.46309948,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,1,2,2,1,peter,,,,,,,,,,1,1,1,1,1,2,1,2,1,1,2,2,2,beta,2,3,4,1,2,1,0,1,0,2,1,2,0,3,0,7,0,1,5,1,2,3,4,1,2,2,53,83,2,1,2,2,3,0.309702604,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.368403522,-1.281843252,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
8,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,1,1,.,3,3,It's the highest court in the nation.,2,2,2,3,3,5,3,3,3,1,1,5,3,2,3,3,3,3,3,46,59,3,3,2,5,2,3,1,1,1,1,3,1,1,2,1971,51,3,3,3,1,2,1,5,2,12,3,2,2,4,8,2,2,2,2,2,1,2,2,1,2,2,6,2,6,1,2,00:18.4,18:18.4,18:13.5,0.866847634,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,1,1,3,3,It's the highest court in the nation.,3,2,2,2,3,3,0,3,0,3,0,1,0,1,0,5,0,0,5,3,2,3,3,3,3,3,46,59,3,3,2,2,3,-1.787819602,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-1.751054842,-1.731016425,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
9,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,Roe v Wade,,,,,,,,,,1,1,2,1,2,1,1,2,2,2,7,.,2,1,They are swayed by popular opinion instead of rule of law.,2,3,1,2,3,1,2,2,2,4,2,5,1,2,5,2,5,1,3,100,60,5,3,1,5,3,5,1,1,1,2,2,1,2,2,1958,64,3,1,1,2,3,2,1,2,35,4,1,1,2,5,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,06:15.8,18:35.2,18:31.0,0.845541656,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,Roe v Wade,,,,,,,,,,1,1,2,1,2,1,1,2,2,2,7,2,1,They are swayed by popular opinion instead of rule of law.,3,2,3,1,2,2,1,2,1,2,1,4,1,2,1,5,0,5,1,1,2,5,3,1,2,5,100,60,5,3,1,3,5,1.526581873,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1.510857769,1.516292982,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
10,2,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,Obergefell vs Hodges,Planned Parenthood vs. Casey,Roe vs. Wade,Brown vs. Board of Education,Please vs. Ferguson,Lawrence vs. Texas,Bush vs Gore,Marbury vs Madison,Dread Scott vs Sanford,Griswald vs Connecticut,2,2,1,2,1,2,1,2,2,1,1,.,2,2,On a downward spiral of Judicial Activism.,2,1,1,1,1,2,2,2,2,4,2,6,1,5,3,2,4,1,5,28,85,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1984,38,2,1,1,2,6,4,5,2,17,2,1,2,.,10,3,2,2,2,2,1,2,2,1,1,4,6,2,7,10,1,04:04.8,18:48.6,18:48.3,1.159508944,2,1,2,1,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,1,Obergefell vs Hodges,Planned Parenthood vs. Casey,Roe vs. Wade,Brown vs. Board of Education,Please vs. Ferguson,Lawrence vs. Texas,Bush vs Gore,Marbury vs Madison,Dread Scott vs Sanford,Griswald vs Connecticut,2,2,1,2,1,2,1,2,2,1,1,2,2,On a downward spiral of Judicial Activism.,1,2,1,1,1,2,1,2,1,2,1,4,1,2,1,6,1,6,2,1,5,4,5,1,2,3,28,85,3,1,1,1,2,-1.25105965,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-1.099092928,1.652710216,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
