	c1	c2	
r1	 .15277119	 .18203863	
r2	 .22145481	 .20244426	
r3	  .4042871	 .37639311	
r4	  .5736084	 .56989492	
r5	 .65476736	 .60731797	
r6	 .41415728	 .44874893	
r7	 .57545839	 .64251071	
r8	 .36521517	 .40875955	
r9	 .46077513	 .41096187	
r10	 .35856529	 .41392302	
r11	 .45765593	 .48874096	
r12	 .58060181	 .60835837	
r13	 .50564788	 .53917689	
r14	 .40920886	 .47553389	
r15	 .53306374	 .53340321	
r16	 .45179846	 .53048585	
r17	 .47934687	  .5212226	
r18	 .59355659	 .60590478	
r19	 .69439803	 .71574214	
r20	 .28550603	 .30243031	
r21	 .29673147	 .34171614	
r22	  .5037453	 .49505627	
r23	 .46637317	 .46190978	
r24	 .49664348	 .53478975	
r25	 .52137463	  .5688803	
r26	 .54718554	 .50139652	
r27	 .49065769	 .48066136	
r28	 .46947457	 .47905111	
r29	 .48955452	  .5364692	
r30	 .41560837	 .48595881	
r31	 .34812373	 .41753584	
r32	 .38056601	 .46093219	
r33	 .53951471	 .57412712	
r34	 .47833014	 .52545171	
r35	 .51457127	  .5461269	
r36	 .36389479	 .46211975	
r37	 .67745551	 .65898233	
r38	 .53449883	 .58366573	
r39	 .47158516	 .55870912	
r40	 .64815515	 .67993896	
