	c1	c2	
r1	 .31830278	 .39747043	
r2	  .4275191	 .52509511	
r3	  .4792852	 .55319505	
r4	 .38776649	 .52177507	
r5	 .37180894	 .51867381	
r6	 .42343096	 .56226972	
r7	 .51607374	 .57209623	
r8	 .31719988	 .37435497	
r9	 .35031862	 .45795607	
r10	 .46414631	 .60896676	
r11	 .55208874	  .5729747	
r12	 .48888784	 .48848697	
r13	 .44457048	 .52570813	
r14	 .41959104	  .5948812	
r15	 .39556797	  .4932805	
r16	 .49440217	 .53388686	
r17	  .3646673	 .52241505	
r18	   .545041	 .64164066	
r19	 .46416875	 .62403476	
r20	 .62166647	 .68145137	
