	c1	c2	c3	c4	c5	c6	c7	c8	
r1	 .47752472	 .60566437	 .35436938	 .42800926	 .46160875	 .46335323	 .44686794	 .43270913	
r2	 .44245967	 .61542923	 .26431826	 .39857493	 .47406537	 .50906584	 .42107471	 .47592895	
r3	 .53323411	 .74016284	 .32617154	 .49988457	 .59311478	 .67621445	 .50425441	 .60817736	
r4	 .50872511	  .6688442	 .35432029	 .43278073	 .46607145	 .49113184	 .41309877	 .45887453	
r5	 .49963743	 .69826101	 .26590588	 .46058136	  .4366955	 .51337655	 .34640803	 .40795614	
r6	 .59974934	  .7385794	 .44139139	 .60693756	 .52035525	 .54973139	  .5015743	 .52995292	
r7	 .29489024	 .35914589	 .21244752	 .27870904	 .33028807	 .34968592	 .27358231	 .33039192	
r8	 .70600037	 .77018524	 .64301602	 .68979681	 .65090832	 .64756281	 .67459683	 .64061524	
r9	 .68070577	 .67836105	 .67016807	 .69393843	 .62735698	 .60126889	 .66302427	  .6218159	
r10	  .4993866	 .58165419	  .3975534	 .48552675	 .48014595	    .55039	 .42264278	 .46123626	
r11	 .46413477	  .7139446	 .24403557	 .39475884	 .37199413	 .42451667	  .3043028	 .35935388	
r12	 .48421248	 .65331065	 .30851518	 .46438313	 .44587676	 .47506323	 .39086594	 .46802383	
r13	 .54519572	 .58842998	 .48605505	  .5629983	 .55263024	 .58475638	 .53370427	  .5488627	
r14	 .52420592	 .60248693	 .42855233	 .49754571	 .49792516	 .54538276	 .44984342	 .47822772	
